# Chunk-averaged data for fix binvelocity_data and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
161000 31 1949.0000000000002
  1 0.916667 362.016 -0.00170001
  2 2.75 66.9423 -0.00017758
  3 4.58333 30.7603 -0.000387111
  4 6.41667 57.6097 -0.000365138
  5 8.25 42.9809 -0.000417662
  6 10.0833 47.5031 -0.000366979
  7 11.9167 47.5109 -0.000311115
  8 13.75 46.104 -0.000151617
  9 15.5833 49.0803 -0.000192976
  10 17.4167 45.8471 -5.68098e-05
  11 19.25 47.9097 8.4048e-05
  12 21.0833 50.3537 4.69448e-05
  13 22.9167 47.0363 0.000191485
  14 24.75 47.896 4.40067e-05
  15 26.5833 47.474 0.000372613
  16 28.4167 48.1129 0.000369686
  17 30.25 46.9537 0.000261761
  18 32.0833 47.7766 0.000190576
  19 33.9167 49.2143 2.35057e-05
  20 35.75 47.4637 -8.80911e-05
  21 37.5833 50.0686 -0.00020828
  22 39.4167 47.7149 0.000149807
  23 41.25 46.9851 -1.78392e-05
  24 43.0833 55.4877 -0.00021089
  25 44.9167 34.2609 0.000292342
  26 46.75 75.9289 0.000379752
  27 48.5833 0.00857143 -0.00157306
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
164500 31 1948.9999999999998
  1 0.916667 362.041 -0.00169968
  2 2.75 67.0657 -0.000203283
  3 4.58333 31.1614 -0.000344532
  4 6.41667 59.5171 -0.000413082
  5 8.25 43.9889 -0.000240366
  6 10.0833 49.722 -0.000323132
  7 11.9167 48.7946 -0.000256155
  8 13.75 47.9649 -0.000213429
  9 15.5833 47.5734 -0.00013774
  10 17.4167 48.6366 -4.48243e-05
  11 19.25 48.4049 -0.000123933
  12 21.0833 46.8883 8.20127e-05
  13 22.9167 49.3391 4.20711e-05
  14 24.75 47.3806 0.000187776
  15 26.5833 47.3706 -9.05983e-05
  16 28.4167 49.43 -8.11366e-05
  17 30.25 48.6686 -3.98822e-05
  18 32.0833 48.552 -6.63497e-05
  19 33.9167 49.1326 -0.000199952
  20 35.75 46.6526 -0.000164719
  21 37.5833 48.4486 1.72753e-05
  22 39.4167 46.5697 0.000388551
  23 41.25 46.9214 0.000289135
  24 43.0833 49.6769 0.000427806
  25 44.9167 36.3843 0.000359736
  26 46.75 70.6217 0.000593004
  27 48.5833 0.0931429 0.00193394
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
168000 31 1949.0000000000002
  1 0.916667 362 -0.0017
  2 2.75 66.0417 -0.000559701
  3 4.58333 30.4366 -0.000331644
  4 6.41667 57.4309 -0.000549307
  5 8.25 42.6626 -0.000221987
  6 10.0833 51.5569 -0.000201458
  7 11.9167 48.618 -0.000453138
  8 13.75 47.0274 -0.000208522
  9 15.5833 49.8917 -0.000115165
  10 17.4167 45.8326 -0.000388846
  11 19.25 49.9597 -1.14431e-05
  12 21.0833 48.3306 -3.26589e-05
  13 22.9167 51.4074 0.000130334
  14 24.75 48.262 8.44708e-05
  15 26.5833 47.5649 8.38281e-05
  16 28.4167 48.5889 8.09889e-05
  17 30.25 48.1234 0.000147337
  18 32.0833 47.3486 -0.000248667
  19 33.9167 49.1806 0.000209449
  20 35.75 45.5709 0.000304883
  21 37.5833 48.0257 0.000266566
  22 39.4167 46.9349 0.000446461
  23 41.25 46.8609 0.000359198
  24 43.0833 49.8786 0.000350587
  25 44.9167 36.3489 0.000374892
  26 46.75 72.8906 0.000217023
  27 48.5833 0.225429 0.00165461
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
171500 31 1949
  1 0.916667 362 -0.0017
  2 2.75 62.7443 -0.000547424
  3 4.58333 34.9866 -0.000578377
  4 6.41667 56.8766 -0.000518053
  5 8.25 48.2131 -0.000386852
  6 10.0833 45.908 -0.000394905
  7 11.9167 48.7409 -0.000430319
  8 13.75 45.7734 -0.000374282
  9 15.5833 48.2046 -0.000162367
  10 17.4167 48.8003 8.57263e-05
  11 19.25 48.3723 0.000198428
  12 21.0833 48.6986 0.000318847
  13 22.9167 50.3269 0.000169265
  14 24.75 45.9214 0.000273779
  15 26.5833 48.5394 0.00044723
  16 28.4167 47.5683 0.000148343
  17 30.25 47.8011 -7.5229e-06
  18 32.0833 45.7394 8.5707e-05
  19 33.9167 50.5586 0.000207814
  20 35.75 46.472 0.000155836
  21 37.5833 49.0389 0.000256739
  22 39.4167 46.5746 4.91192e-05
  23 41.25 46.1346 -6.59177e-05
  24 43.0833 51.6206 7.21232e-05
  25 44.9167 37.3374 0.000182614
  26 46.75 73.8051 0.000306501
  27 48.5833 0.243143 0.00153299
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
175000 31 1949.0000000000002
  1 0.916667 362.151 -0.00170028
  2 2.75 65.1171 -0.000218356
  3 4.58333 33.512 -0.000357171
  4 6.41667 56.8954 -0.000441284
  5 8.25 44.3614 -0.00042583
  6 10.0833 50.0646 -0.000542322
  7 11.9167 46.4157 -0.000433526
  8 13.75 48.5749 -0.000360709
  9 15.5833 47.7583 8.58943e-06
  10 17.4167 47.5623 -1.29545e-05
  11 19.25 49.0143 0.00021303
  12 21.0833 52.8654 -2.46215e-05
  13 22.9167 47.0011 0.000104586
  14 24.75 48.6537 -4.72582e-05
  15 26.5833 49.9023 -0.000225706
  16 28.4167 47.6357 -4.49856e-05
  17 30.25 46.928 -1.74564e-05
  18 32.0833 46.7914 0.000246992
  19 33.9167 46.1466 0.000311164
  20 35.75 46.8346 0.000181016
  21 37.5833 48.2049 0.000356542
  22 39.4167 46.8023 0.000414442
  23 41.25 46.1394 0.000323322
  24 43.0833 52.0346 0.00061603
  25 44.9167 35.2846 0.000390818
  26 46.75 74.3009 0.00058388
  27 48.5833 0.048 -0.000629777
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
178500 31 1949.0000000000005
  1 0.916667 362 -0.0017
  2 2.75 64.9946 -0.000238777
  3 4.58333 34.15 -0.000244748
  4 6.41667 55.8446 -0.000191246
  5 8.25 44.7237 -0.000369616
  6 10.0833 49.0571 -0.000386285
  7 11.9167 46.326 -0.000436651
  8 13.75 49.7169 -0.00068979
  9 15.5833 46.6243 -0.000363109
  10 17.4167 49.1634 -0.000309111
  11 19.25 45.6151 -0.000180767
  12 21.0833 49.9277 -0.000374428
  13 22.9167 47.0889 -0.00022147
  14 24.75 47.9171 5.26705e-05
  15 26.5833 49.2083 0.000160613
  16 28.4167 47.6406 0.000247181
  17 30.25 48.6797 8.7582e-05
  18 32.0833 45.1743 0.000367008
  19 33.9167 46.4106 0.000176123
  20 35.75 47.5897 0.000303261
  21 37.5833 47.3726 0.0001104
  22 39.4167 46.9014 0.000417931
  23 41.25 48.1811 0.000442429
  24 43.0833 52.8243 0.000314662
  25 44.9167 38.7991 0.000594671
  26 46.75 74.7717 0.000513077
  27 48.5833 0.297143 0.00133329
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
182000 31 1948.9999999999998
  1 0.916667 362 -0.0017
  2 2.75 65.3054 -0.000685231
  3 4.58333 33.7206 -0.000536295
  4 6.41667 57.2474 -0.000394001
  5 8.25 44.7511 -0.000333391
  6 10.0833 48.1909 -0.000141967
  7 11.9167 48.098 -3.27545e-05
  8 13.75 49.9226 8.72592e-05
  9 15.5833 46.7174 -7.11537e-05
  10 17.4167 50.2466 -0.000113526
  11 19.25 47.5354 -0.000335735
  12 21.0833 48.2794 -9.93544e-05
  13 22.9167 50.5486 7.76656e-05
  14 24.75 45.8397 -2.54436e-05
  15 26.5833 46.8377 -0.000237758
  16 28.4167 47.8934 -7.53517e-05
  17 30.25 48.8586 7.23094e-05
  18 32.0833 46.7877 6.8103e-05
  19 33.9167 47.6791 0.000202906
